requestTime,userIp,x,y,z
2026-04-07 20:48:15.481913400+00:00,::1,0,0,0
2026-04-07 20:48:19.010750700+00:00,::1,0,0,1
2026-04-07 20:48:19.010759100+00:00,::1,1,1,1
2026-04-07 20:48:19.010759300+00:00,::1,0,1,1
2026-04-07 20:48:19.010759400+00:00,::1,1,0,1
2026-04-07 20:48:19.457078300+00:00,::1,1,2,2
2026-04-07 20:48:19.457078300+00:00,::1,1,1,2
2026-04-07 20:48:19.457078700+00:00,::1,2,1,2
2026-04-07 20:48:19.457081800+00:00,::1,1,0,2
2026-04-07 20:48:19.457081800+00:00,::1,2,2,2
2026-04-07 20:48:19.470326500+00:00,::1,3,0,2
2026-04-07 20:48:19.704261500+00:00,::1,0,1,2
2026-04-07 20:48:19.704261500+00:00,::1,0,0,2
2026-04-07 20:48:19.734491600+00:00,::1,0,2,2
2026-04-07 20:48:19.795424500+00:00,::1,3,2,2
2026-04-07 20:48:19.795426400+00:00,::1,0,3,2
2026-04-07 20:48:19.832453300+00:00,::1,3,1,2
2026-04-07 20:48:19.918649400+00:00,::1,2,3,2
2026-04-07 20:48:19.950373600+00:00,::1,1,3,2
2026-04-07 20:48:19.978322800+00:00,::1,2,0,2
2026-04-07 20:48:19.990481400+00:00,::1,3,3,2
2026-04-07 20:48:20.862929800+00:00,::1,3,3,3
2026-04-07 20:48:20.862929800+00:00,::1,3,4,3
2026-04-07 20:48:20.863446700+00:00,::1,4,3,3
2026-04-07 20:48:20.872236800+00:00,::1,3,2,3
2026-04-07 20:48:20.872239700+00:00,::1,4,4,3
2026-04-07 20:48:20.873215500+00:00,::1,4,2,3
2026-04-07 20:48:21.083649600+00:00,::1,5,3,3
2026-04-07 20:48:21.083671200+00:00,::1,2,2,3
2026-04-07 20:48:21.087767300+00:00,::1,5,5,3
2026-04-07 20:48:21.090969800+00:00,::1,5,4,3
2026-04-07 20:48:21.110987700+00:00,::1,1,2,3
2026-04-07 20:48:21.117431300+00:00,::1,2,4,3
2026-04-07 20:48:21.266114500+00:00,::1,1,3,3
2026-04-07 20:48:21.300914600+00:00,::1,1,5,3
2026-04-07 20:48:21.300916100+00:00,::1,6,3,3
2026-04-07 20:48:21.338519+00:00,::1,6,5,3
2026-04-07 20:48:21.366957500+00:00,::1,2,5,3
2026-04-07 20:48:21.366957600+00:00,::1,4,5,3
2026-04-07 20:48:21.447493+00:00,::1,3,5,3
2026-04-07 20:48:21.477287+00:00,::1,2,3,3
2026-04-07 20:48:21.477287100+00:00,::1,6,4,3
2026-04-07 20:48:21.504224900+00:00,::1,6,2,3
2026-04-07 20:48:21.545096600+00:00,::1,5,2,3
2026-04-07 20:48:21.600144200+00:00,::1,1,4,3
2026-04-07 20:58:14.791148300+00:00,::1,7,4,3
2026-04-07 20:58:14.791159100+00:00,::1,7,2,3
2026-04-07 20:58:14.799304700+00:00,::1,7,3,3
2026-04-07 20:58:14.801342200+00:00,::1,7,5,3
2026-04-07 20:58:14.984240700+00:00,::1,7,1,3
2026-04-07 20:58:14.984240700+00:00,::1,0,2,3
2026-04-07 20:58:15.197903400+00:00,::1,4,1,3
2026-04-07 20:58:15.426183400+00:00,::1,0,3,3
2026-04-07 20:58:15.431612800+00:00,::1,2,1,3
2026-04-07 20:58:15.444177100+00:00,::1,5,1,3
2026-04-07 20:58:15.449494800+00:00,::1,1,1,3
2026-04-07 20:58:15.507103200+00:00,::1,6,1,3
2026-04-07 20:58:15.647333+00:00,::1,0,1,3
2026-04-07 20:58:15.660273500+00:00,::1,3,1,3
2026-04-07 20:58:15.692625300+00:00,::1,6,0,3
2026-04-07 20:58:15.696650600+00:00,::1,3,0,3
2026-04-07 20:58:15.756838300+00:00,::1,0,0,3
2026-04-07 20:58:15.886232700+00:00,::1,7,0,3
2026-04-07 20:58:15.933208200+00:00,::1,2,0,3
2026-04-07 20:58:15.948817400+00:00,::1,1,0,3
2026-04-07 20:58:16.005613200+00:00,::1,5,0,3
2026-04-07 20:58:16.018477400+00:00,::1,4,0,3
2026-04-07 20:58:16.937047500+00:00,::1,11,2,5
2026-04-07 20:58:16.937047500+00:00,::1,10,3,5
2026-04-07 20:58:16.937157400+00:00,::1,9,2,5
2026-04-07 20:58:16.937266100+00:00,::1,10,2,5
2026-04-07 20:58:16.938473700+00:00,::1,9,3,5
2026-04-07 20:58:16.942449700+00:00,::1,11,3,5
2026-04-07 20:58:17.274847500+00:00,::1,11,4,5
2026-04-07 20:58:17.289671500+00:00,::1,7,3,5
2026-04-07 20:58:17.335434200+00:00,::1,8,3,5
2026-04-07 20:58:17.385391700+00:00,::1,12,3,5
2026-04-07 20:58:17.453569700+00:00,::1,7,2,5
2026-04-07 20:58:17.527045900+00:00,::1,9,4,5
2026-04-07 20:58:17.623288300+00:00,::1,7,4,5
2026-04-07 20:58:17.645240900+00:00,::1,10,4,5
2026-04-07 20:58:17.684696800+00:00,::1,13,3,5
2026-04-07 20:58:17.769961900+00:00,::1,11,1,5
2026-04-07 20:58:17.895916200+00:00,::1,12,1,5
2026-04-07 20:58:17.974232900+00:00,::1,13,2,5
2026-04-07 20:58:17.988300800+00:00,::1,13,4,5
2026-04-07 20:58:18.033045+00:00,::1,8,1,5
2026-04-07 20:58:18.118767700+00:00,::1,12,2,5
2026-04-07 20:58:18.130068200+00:00,::1,8,4,5
2026-04-07 20:58:18.202264400+00:00,::1,12,4,5
2026-04-07 20:58:18.270966+00:00,::1,8,2,5
2026-04-07 20:58:18.368816600+00:00,::1,10,1,5
2026-04-07 20:58:18.371355300+00:00,::1,7,1,5
2026-04-07 20:58:18.411386300+00:00,::1,9,1,5
2026-04-07 20:58:18.532197800+00:00,::1,13,1,5
2026-04-07 20:58:18.566470300+00:00,::1,14,5,5
2026-04-07 20:58:18.640121700+00:00,::1,13,5,5
2026-04-07 20:58:18.682801200+00:00,::1,9,6,5
2026-04-07 20:58:18.687220500+00:00,::1,10,5,5
2026-04-07 20:58:18.707850700+00:00,::1,15,5,5
2026-04-07 20:58:18.782958300+00:00,::1,15,6,5
2026-04-07 20:58:18.953421300+00:00,::1,11,5,5
2026-04-07 20:58:18.953954400+00:00,::1,13,6,5
2026-04-07 20:58:18.966584600+00:00,::1,9,5,5
2026-04-07 20:58:19.010275500+00:00,::1,15,4,5
2026-04-07 20:58:19.042575700+00:00,::1,11,6,5
2026-04-07 20:58:19.135729900+00:00,::1,10,6,5
