userIp,requestTime,z,x,y,sessionId,parameters_json
::1,2026-03-29T18:49:28.4097680Z,0,0,0,,"{""z"": ""0"", ""x"": ""0"", ""y"": ""0""}"
::1,2026-03-29T18:49:31.3156318Z,1,1,0,,"{""z"": ""1"", ""x"": ""1"", ""y"": ""0""}"
::1,2026-03-29T18:49:31.3156169Z,1,0,0,,"{""z"": ""1"", ""x"": ""0"", ""y"": ""0""}"
::1,2026-03-29T18:49:31.3156317Z,1,0,1,,"{""z"": ""1"", ""x"": ""0"", ""y"": ""1""}"
::1,2026-03-29T18:49:31.3156316Z,1,1,1,,"{""z"": ""1"", ""x"": ""1"", ""y"": ""1""}"
::1,2026-03-29T18:49:32.9003901Z,2,1,1,,"{""z"": ""2"", ""x"": ""1"", ""y"": ""1""}"
::1,2026-03-29T18:49:32.9024164Z,2,2,2,,"{""z"": ""2"", ""x"": ""2"", ""y"": ""2""}"
::1,2026-03-29T18:49:32.9044935Z,2,2,0,,"{""z"": ""2"", ""x"": ""2"", ""y"": ""0""}"
::1,2026-03-29T18:49:32.9039574Z,2,2,1,,"{""z"": ""2"", ""x"": ""2"", ""y"": ""1""}"
::1,2026-03-29T18:49:33.0876181Z,2,0,1,,"{""z"": ""2"", ""x"": ""0"", ""y"": ""1""}"
::1,2026-03-29T18:49:33.0925481Z,2,1,0,,"{""z"": ""2"", ""x"": ""1"", ""y"": ""0""}"
::1,2026-03-29T18:49:33.1681190Z,2,3,1,,"{""z"": ""2"", ""x"": ""3"", ""y"": ""1""}"
::1,2026-03-29T18:49:33.2644054Z,2,3,3,,"{""z"": ""2"", ""x"": ""3"", ""y"": ""3""}"
::1,2026-03-29T18:49:33.3085470Z,2,2,3,,"{""z"": ""2"", ""x"": ""2"", ""y"": ""3""}"
::1,2026-03-29T18:49:33.3205805Z,3,2,3,,"{""z"": ""3"", ""x"": ""2"", ""y"": ""3""}"
::1,2026-03-29T18:49:33.3353541Z,3,1,2,,"{""z"": ""3"", ""x"": ""1"", ""y"": ""2""}"
::1,2026-03-29T18:49:33.3354624Z,3,1,3,,"{""z"": ""3"", ""x"": ""1"", ""y"": ""3""}"
::1,2026-03-29T18:49:32.9023472Z,2,1,2,,"{""z"": ""2"", ""x"": ""1"", ""y"": ""2""}"
::1,2026-03-29T18:49:32.9044935Z,2,0,0,,"{""z"": ""2"", ""x"": ""0"", ""y"": ""0""}"
::1,2026-03-29T18:49:33.0796750Z,2,3,2,,"{""z"": ""2"", ""x"": ""3"", ""y"": ""2""}"
::1,2026-03-29T18:49:33.1548280Z,2,0,2,,"{""z"": ""2"", ""x"": ""0"", ""y"": ""2""}"
::1,2026-03-29T18:49:33.2271333Z,2,0,3,,"{""z"": ""2"", ""x"": ""0"", ""y"": ""3""}"
::1,2026-03-29T18:49:33.2544669Z,2,3,0,,"{""z"": ""2"", ""x"": ""3"", ""y"": ""0""}"
::1,2026-03-29T18:49:33.3096347Z,3,4,5,,"{""z"": ""3"", ""x"": ""4"", ""y"": ""5""}"
::1,2026-03-29T18:49:33.3239865Z,3,1,5,,"{""z"": ""3"", ""x"": ""1"", ""y"": ""5""}"
::1,2026-03-29T18:49:33.3323515Z,3,3,4,,"{""z"": ""3"", ""x"": ""3"", ""y"": ""4""}"
::1,2026-03-29T18:49:33.5706622Z,3,4,4,,"{""z"": ""3"", ""x"": ""4"", ""y"": ""4""}"
::1,2026-03-29T18:49:33.5892679Z,3,3,5,,"{""z"": ""3"", ""x"": ""3"", ""y"": ""5""}"
::1,2026-03-29T18:49:33.6061810Z,3,5,4,,"{""z"": ""3"", ""x"": ""5"", ""y"": ""4""}"
::1,2026-03-29T18:49:33.6383471Z,3,6,4,,"{""z"": ""3"", ""x"": ""6"", ""y"": ""4""}"
::1,2026-03-29T18:49:33.6951431Z,3,1,4,,"{""z"": ""3"", ""x"": ""1"", ""y"": ""4""}"
::1,2026-03-29T18:49:33.7089880Z,3,2,5,,"{""z"": ""3"", ""x"": ""2"", ""y"": ""5""}"
::1,2026-03-29T18:49:33.7489439Z,3,6,5,,"{""z"": ""3"", ""x"": ""6"", ""y"": ""5""}"
::1,2026-03-29T18:49:33.7774990Z,3,2,4,,"{""z"": ""3"", ""x"": ""2"", ""y"": ""4""}"
::1,2026-03-29T18:49:33.8070518Z,3,4,3,,"{""z"": ""3"", ""x"": ""4"", ""y"": ""3""}"
::1,2026-03-29T18:49:33.8125172Z,3,5,5,,"{""z"": ""3"", ""x"": ""5"", ""y"": ""5""}"
::1,2026-03-29T18:49:33.8471047Z,3,4,2,,"{""z"": ""3"", ""x"": ""4"", ""y"": ""2""}"
::1,2026-03-29T18:49:33.9214887Z,3,2,2,,"{""z"": ""3"", ""x"": ""2"", ""y"": ""2""}"
::1,2026-03-29T18:49:33.9296211Z,3,5,2,,"{""z"": ""3"", ""x"": ""5"", ""y"": ""2""}"
::1,2026-03-29T18:49:33.9460939Z,3,3,2,,"{""z"": ""3"", ""x"": ""3"", ""y"": ""2""}"
::1,2026-03-29T18:49:33.9790588Z,3,5,3,,"{""z"": ""3"", ""x"": ""5"", ""y"": ""3""}"
::1,2026-03-29T18:49:34.0064182Z,3,6,2,,"{""z"": ""3"", ""x"": ""6"", ""y"": ""2""}"
::1,2026-03-29T18:49:34.0418381Z,3,6,3,,"{""z"": ""3"", ""x"": ""6"", ""y"": ""3""}"
::1,2026-03-29T18:49:34.0839434Z,3,3,3,,"{""z"": ""3"", ""x"": ""3"", ""y"": ""3""}"
